Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average
255.49000549316406,258.2099914550781,255.2899932861328,258.20001220703125,23234700,0.0,0.0,
258.19000244140625,260.1000061035156,257.6300048828125,259.0199890136719,27237100,0.0,0.0,
257.8299865722656,258.70001220703125,253.05999755859375,255.58999633789062,42355300,0.0,0.0,
252.22999572753906,253.5,250.75,252.1999969482422,35557500,0.0,0.0,
252.44000244140625,253.27999877929688,249.42999267578125,250.4199981689453,39480700,0.0,0.0,255.08599853515625
248.92999267578125,249.10000610351562,241.82000732421875,243.85000610351562,55740700,0.0,0.0,252.21599731445312
243.36000061035156,244.17999267578125,241.88999938964844,243.36000061035156,40244100,0.0,0.0,249.08399963378906
244.30999755859375,247.3300018310547,243.1999969482422,245.0,45045600,0.0,0.0,246.96600036621095
242.97999572753906,245.5500030517578,241.35000610351562,242.2100067138672,40856000,0.0,0.0,244.96800231933594
241.9199981689453,243.7100067138672,240.0500030517578,242.6999969482422,37628900,0.0,0.0,243.42400207519532
240.00999450683594,240.16000366210938,233.0,236.85000610351562,61710900,0.0,0.0,242.0240020751953
233.52999877929688,234.6699981689453,229.72000122070312,234.39999389648438,49630700,0.0,0.0,240.23200073242188
234.75,236.1199951171875,232.47000122070312,233.27999877929688,39435300,0.0,0.0,237.88800048828125
234.63999938964844,238.9600067138672,234.42999267578125,237.8699951171875,39832000,0.0,0.0,237.0199981689453
237.35000610351562,238.00999450683594,228.02999877929688,228.25999450683594,71759100,0.0,0.0,234.13199768066406
232.1199951171875,232.2899932861328,228.47999572753906,229.97999572753906,68488300,0.0,0.0,232.75799560546875
224.0,224.4199981689453,219.3800048828125,222.63999938964844,98070400,0.0,0.0,230.40599670410157
219.7899932861328,224.1199951171875,219.7899932861328,223.8300018310547,64126500,0.0,0.0,228.51599731445313
224.74000549316406,227.02999877929688,222.3000030517578,223.66000366210938,60178200,0.0,0.0,225.6739990234375
224.97500610351562,225.6300048828125,224.3300018310547,224.6750030517578,9119696,0.0,0.0,224.95700073242188
